🔥 STARTING 500s STRESS TEST
   Target: http://localhost:8000
   Duration: 500s
------------------------------------------------------------
TIME       | STATUS   | LATENCY  | CPU%   | MEM%   | BTC PRICE    | SIGNAL
 365s       | OK       |    8.0ms |  26.2% |  77.8% | --           | RUNNING
 366s       | OK       |    7.5ms |  30.4% |  77.9% | --           | RUNNING
 367s       | OK       |    7.0ms |  26.7% |  77.9% | --           | RUNNING
 368s       | OK       |    7.1ms |  26.4% |  77.6% | --           | RUNNING
 369s       | OK       |   16.5ms |  40.0% |  77.7% | --           | RUNNING
 370s       | OK       |    5.8ms |  73.6% |  75.7% | --           | RUNNING
 371s       | OK       |    7.0ms |  32.7% |  75.3% | --           | RUNNING
 372s       | OK       |    6.9ms |  28.4% |  74.9% | --           | RUNNING
 373s       | OK       |    8.8ms |  26.9% |  74.7% | --           | RUNNING
 374s       | OK       |    6.7ms |  31.7% |  74.9% | --           | RUNNING
 375s       | OK       |    7.2ms |  26.7% |  74.7% | --           | RUNNING
 376s       | OK       |    8.8ms |  27.2% |  75.8% | --           | RUNNING
 377s       | OK       |    3.2ms |  43.9% |  77.3% | --           | RUNNING
 378s       | OK       |    7.5ms |  31.4% |  76.0% | --           | RUNNING
 379s       | OK       |    6.7ms |  28.8% |  76.7% | --           | RUNNING
 380s       | OK       |    2.6ms |  37.0% |  77.6% | --           | RUNNING
 381s       | OK       |    4.8ms |  30.3% |  77.8% | --           | RUNNING
 382s       | OK       |    7.2ms |  31.7% |  77.5% | --           | RUNNING
 383s       | OK       |    5.8ms |  36.7% |  77.3% | --           | RUNNING
 384s       | OK       |   12.7ms |  36.3% |  76.8% | --           | RUNNING
 385s       | OK       |    7.5ms |  59.0% |  76.7% | --           | RUNNING
 386s       | OK       |    4.5ms |  86.2% |  75.7% | --           | RUNNING
 387s       | OK       |    7.8ms |  45.5% |  77.1% | --           | RUNNING
 388s       | OK       |    5.4ms |  46.7% |  80.1% | --           | RUNNING
 389s       | OK       |    6.5ms |  40.4% |  79.0% | --           | RUNNING
 390s       | OK       |    6.9ms |  21.3% |  77.8% | --           | RUNNING
 391s       | OK       |    6.6ms |  25.8% |  78.0% | --           | RUNNING
 392s       | OK       |    6.2ms |  23.6% |  77.8% | --           | RUNNING
 393s       | OK       |    2.0ms |  47.6% |  77.6% | --           | RUNNING
 394s       | OK       |    8.4ms |  43.3% |  77.5% | --           | RUNNING
 395s       | OK       |    6.6ms |  35.2% |  77.6% | --           | RUNNING
 396s       | OK       |    4.2ms |  35.7% |  76.2% | --           | RUNNING
 397s       | OK       |    2.0ms |  48.5% |  74.6% | --           | RUNNING
 398s       | OK       |    6.6ms |   7.7% |  74.5% | --           | RUNNING
 399s       | OK       |    5.9ms |  11.0% |  74.5% | --           | RUNNING
 400s       | OK       |    6.8ms |   8.4% |  74.4% | --           | RUNNING
 401s       | OK       |    5.1ms |  10.1% |  74.5% | --           | RUNNING
 402s       | OK       |    5.3ms |  31.7% |  74.6% | --           | RUNNING
 403s       | OK       |    2.6ms |  43.5% |  74.8% | --           | RUNNING
 404s       | OK       |   16.0ms |  30.8% |  74.7% | --           | RUNNING
 405s       | OK       |    2.3ms |  28.2% |  74.6% | --           | RUNNING
 406s       | OK       |    2.8ms |  23.4% |  74.6% | --           | RUNNING
 407s       | OK       |    7.0ms |  12.8% |  74.2% | --           | RUNNING
 408s       | OK       |    6.6ms |   8.0% |  74.1% | --           | RUNNING
 409s       | OK       |    7.6ms |   7.9% |  74.2% | --           | RUNNING
 410s       | OK       |    7.2ms |  11.4% |  74.1% | --           | RUNNING
 411s       | OK       |    7.1ms |  10.8% |  74.0% | --           | RUNNING
 412s       | OK       |    7.6ms |  11.1% |  74.2% | --           | RUNNING
 413s       | OK       |    6.8ms |  10.6% |  74.0% | --           | RUNNING
 414s       | OK       |    7.2ms |   8.9% |  74.0% | --           | RUNNING
 415s       | OK       |    7.7ms |   8.5% |  74.1% | --           | RUNNING
 416s       | OK       |    7.2ms |   7.6% |  74.1% | --           | RUNNING
 417s       | OK       |    7.6ms |   9.9% |  74.1% | --           | RUNNING
 418s       | OK       |    7.6ms |  12.1% |  74.0% | --           | RUNNING
 419s       | OK       |    7.1ms |   7.3% |  74.0% | --           | RUNNING
 420s       | OK       |    7.4ms |   7.5% |  74.1% | --           | RUNNING
 421s       | OK       |    6.8ms |   8.9% |  74.3% | --           | RUNNING
 422s       | OK       |    7.0ms |   7.1% |  74.3% | --           | RUNNING
 423s       | OK       |    7.8ms |   9.3% |  74.7% | --           | RUNNING
 424s       | OK       |    4.1ms |  21.4% |  75.5% | --           | RUNNING
 425s       | OK       |    4.6ms |  39.7% |  75.7% | --           | RUNNING
 426s       | OK       |    7.5ms |  25.1% |  75.9% | --           | RUNNING
 427s       | OK       |    3.2ms |  53.6% |  75.5% | --           | RUNNING
 428s       | OK       |    6.8ms |  24.5% |  75.6% | --           | RUNNING
 429s       | OK       |    7.3ms |  25.8% |  75.6% | --           | RUNNING
 430s       | OK       |    6.5ms |  17.3% |  75.0% | --           | RUNNING
 431s       | OK       |    2.1ms |  24.9% |  74.9% | --           | RUNNING
 432s       | OK       |    2.2ms |  37.6% |  75.2% | --           | RUNNING
 433s       | OK       |    6.8ms |  10.3% |  75.0% | --           | RUNNING
 434s       | CRASH    |    0.0ms |   0.0% |   0.0% | HTTPConnecti | ERROR
 435s       | CRASH    |    0.0ms |   0.0% |   0.0% | HTTPConnecti | ERROR
 436s       | CRASH    |    0.0ms |   0.0% |   0.0% | HTTPConnecti | ERROR
 437s       | CRASH    |    0.0ms |   0.0% |   0.0% | HTTPConnecti | ERROR
 438s       | OK       |    9.6ms |  47.0% |  76.7% | --           | RUNNING
 439s       | OK       |    8.4ms |  18.3% |  76.8% | --           | RUNNING
 440s       | OK       |    6.6ms |  20.4% |  77.2% | --           | RUNNING
 441s       | OK       |    6.3ms |  17.1% |  77.1% | --           | RUNNING
 442s       | OK       |    2.1ms |  24.7% |  77.2% | --           | RUNNING
 443s       | OK       |    6.4ms |  12.2% |  77.2% | --           | RUNNING
 444s       | OK       |    4.2ms |  16.0% |  76.9% | --           | RUNNING
 445s       | OK       |    5.2ms |  40.0% |  77.9% | --           | RUNNING
 446s       | OK       |    3.5ms |  43.0% |  75.9% | --           | RUNNING
 447s       | OK       |    7.1ms |  11.9% |  75.9% | --           | RUNNING
 448s       | OK       |    2.9ms |  33.9% |  80.8% | --           | RUNNING
 449s       | OK       |   22.4ms |  47.8% |  87.7% | --           | RUNNING
 450s       | OK       |    7.2ms |  42.0% |  87.1% | --           | RUNNING
 451s       | OK       |    5.7ms |  17.5% |  86.5% | --           | RUNNING
 452s       | OK       |    5.9ms |  19.1% |  86.5% | --           | RUNNING
 453s       | OK       |    6.7ms |  25.3% |  86.7% | --           | RUNNING
 454s       | OK       |   29.4ms |  18.5% |  88.1% | --           | RUNNING
 455s       | OK       |    7.3ms |  28.4% |  88.2% | --           | RUNNING
 456s       | OK       |    7.2ms |  12.8% |  88.0% | --           | RUNNING
 457s       | OK       |   25.1ms |  28.7% |  88.5% | --           | RUNNING
 458s       | OK       |    7.1ms |  19.6% |  88.7% | --           | RUNNING
 459s       | OK       |    7.0ms |  20.0% |  80.4% | --           | RUNNING
 460s       | OK       |    6.9ms |  17.5% |  77.6% | --           | RUNNING
 461s       | OK       |    8.0ms |  14.2% |  76.8% | --           | RUNNING
 462s       | OK       |    4.3ms |  14.8% |  76.9% | --           | RUNNING
 463s       | OK       |    4.6ms |  14.8% |  77.1% | --           | RUNNING
 464s       | OK       |   16.7ms |  14.4% |  77.1% | --           | RUNNING
 465s       | OK       |    7.1ms |  13.7% |  77.0% | --           | RUNNING
 466s       | OK       |    7.3ms |  17.5% |  77.1% | --           | RUNNING
 467s       | OK       |    2.6ms |  14.4% |  77.4% | --           | RUNNING
 468s       | OK       |    5.8ms |  13.9% |  77.5% | --           | RUNNING
 469s       | OK       |    7.9ms |  14.3% |  77.5% | --           | RUNNING
 470s       | OK       |    9.0ms |  23.5% |  77.5% | --           | RUNNING
 471s       | OK       |    7.3ms |  22.2% |  77.5% | --           | RUNNING
 472s       | OK       |    6.5ms |  14.5% |  77.4% | --           | RUNNING
 473s       | OK       |    4.7ms |  18.0% |  77.8% | --           | RUNNING
 474s       | OK       |   15.8ms |  19.0% |  77.0% | --           | RUNNING
 475s       | OK       |    5.0ms |  23.8% |  78.6% | --           | RUNNING
 476s       | OK       |    8.8ms |  64.1% |  75.8% | --           | RUNNING
 477s       | OK       |    7.3ms |  33.8% |  75.5% | --           | RUNNING
 478s       | OK       |    6.6ms |   9.5% |  75.3% | --           | RUNNING
 479s       | OK       |    7.3ms |   9.1% |  75.2% | --           | RUNNING
 480s       | OK       |    7.6ms |  10.8% |  74.1% | --           | RUNNING
 481s       | OK       |    7.0ms |   7.4% |  74.0% | --           | RUNNING
 482s       | OK       |    7.2ms |   7.7% |  73.8% | --           | RUNNING
 483s       | OK       |    8.7ms |  15.9% |  74.1% | --           | RUNNING
 484s       | OK       |    7.3ms |  19.5% |  75.0% | --           | RUNNING
 485s       | OK       |    7.4ms |   8.0% |  74.7% | --           | RUNNING
 486s       | OK       |    8.8ms |  14.5% |  75.0% | --           | RUNNING
 487s       | OK       |    2.9ms |  17.3% |  75.1% | --           | RUNNING
 488s       | OK       |    7.5ms |  13.3% |  75.0% | --           | RUNNING
 489s       | OK       |    7.1ms |   6.9% |  74.9% | --           | RUNNING
 490s       | OK       |   13.2ms |  12.7% |  74.7% | --           | RUNNING
 491s       | OK       |    7.6ms |  26.0% |  74.8% | --           | RUNNING
 492s       | OK       |    6.5ms |   9.3% |  75.0% | --           | RUNNING
 493s       | OK       |    5.4ms |   9.8% |  74.6% | --           | RUNNING
 494s       | OK       |    8.8ms |  13.4% |  74.8% | --           | RUNNING
 495s       | OK       |    3.4ms |  13.5% |  74.7% | --           | RUNNING
 496s       | OK       |    3.8ms |   8.9% |  74.4% | --           | RUNNING
 497s       | OK       |    5.0ms |   8.7% |  74.4% | --           | RUNNING
 498s       | OK       |    6.7ms |   7.2% |  74.3% | --           | RUNNING
 499s       | OK       |    6.3ms |   6.8% |  74.3% | --           | RUNNING
------------------------------------------------------------

📊 STRESS TEST RESULTS
   Duration: 499s
   Requests: 499
   Errors:   8
   Uptime:   98.40%
   Avg Latency: 7.5ms
   Max Latency: 107.3ms
   Avg CPU: 27.3%
   Avg Mem: 75.8%

❌ SYSTEM FAILED STRESS TEST
